age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
32.0,Private,228265.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Female,0.0,0.0,30.0,United-States,0
21.0,Private,89154.0,11th,7.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,42.0,El-Salvador,0
33.0,State-gov,43716.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,4.0,United-States,0
43.0,Private,81243.0,Bachelors,13.0,Divorced,Tech-support,Not-in-family,White,Male,0.0,1876.0,40.0,United-States,0
50.0,Self-emp-inc,155574.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298.0,0.0,50.0,United-States,1
17.0,Local-gov,308901.0,11th,7.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,15.0,United-States,0
30.0,Private,375827.0,HS-grad,9.0,Never-married,Handlers-cleaners,Other-relative,White,Male,0.0,0.0,40.0,United-States,0
64.0,Private,63676.0,10th,6.0,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,0.0,40.0,United-States,0
25.0,Private,221757.0,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,3325.0,0.0,45.0,United-States,0
41.0,Private,204046.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
42.0,Local-gov,195124.0,11th,7.0,Divorced,Sales,Unmarried,White,Male,7430.0,0.0,50.0,Puerto-Rico,1
45.0,Private,98475.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,45.0,United-States,0
36.0,Private,184498.0,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
68.0,State-gov,202699.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2377.0,42.0,nan,1
44.0,Self-emp-not-inc,182771.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,48.0,South,1
34.0,Private,192002.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,55.0,United-States,1
25.0,Private,220220.0,11th,7.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,45.0,United-States,0
44.0,Private,249332.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,Ecuador,0
35.0,Private,190174.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
26.0,Private,158810.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,70.0,United-States,0
60.0,Private,33266.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,0
29.0,State-gov,106334.0,Masters,14.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,nan,0
34.0,Private,532379.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
47.0,Private,74305.0,Bachelors,13.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
20.0,Private,55465.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,35.0,United-States,0
30.0,Self-emp-not-inc,106742.0,12th,8.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,75.0,United-States,0
30.0,Private,168443.0,HS-grad,9.0,Separated,Other-service,Unmarried,White,Female,0.0,0.0,30.0,United-States,0
31.0,Private,247328.0,9th,5.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3137.0,0.0,40.0,Mexico,0
28.0,Private,185127.0,Some-college,10.0,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,54.0,United-States,0
43.0,Private,191547.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,Mexico,0
53.0,Private,290640.0,7th-8th,4.0,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,Vietnam,0
23.0,Private,130905.0,Bachelors,13.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States,0
41.0,Private,407425.0,12th,8.0,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,0
39.0,Private,120985.0,HS-grad,9.0,Divorced,Other-service,Own-child,White,Male,0.0,0.0,40.0,United-States,0
61.0,Federal-gov,181081.0,HS-grad,9.0,Divorced,Adm-clerical,Own-child,Black,Female,0.0,0.0,20.0,United-States,0
46.0,Local-gov,124071.0,Masters,14.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,65.0,United-States,1
33.0,Self-emp-inc,239018.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,0
26.0,Federal-gov,207537.0,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,0
55.0,Private,199856.0,HS-grad,9.0,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,50.0,United-States,0
23.0,Self-emp-inc,306868.0,Bachelors,13.0,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
53.0,Private,346871.0,HS-grad,9.0,Divorced,Prof-specialty,Not-in-family,White,Male,4787.0,0.0,46.0,United-States,1
40.0,Private,174395.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
27.0,Private,200928.0,Some-college,10.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,22.0,United-States,0
72.0,Private,107814.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,2329.0,0.0,60.0,United-States,0
40.0,Local-gov,101795.0,HS-grad,9.0,Never-married,Protective-serv,Not-in-family,White,Male,0.0,0.0,42.0,United-States,0
26.0,Private,151626.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,Black,Female,0.0,0.0,45.0,United-States,0
43.0,Private,186396.0,9th,5.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,20.0,United-States,0
35.0,Private,178948.0,Masters,14.0,Never-married,Prof-specialty,Unmarried,White,Female,0.0,0.0,32.0,United-States,0
