issue_date,listing_date,condition,color_type,length(m),height(cm),X1,X2,pet_category,breed_category
1508544000.0,1546497240.0,0.0,Brown Tabby,0.84,31.74,0,1,1,1
1525305600.0,1540308960.0,2.0,Blue Merle,0.13,46.01,0,7,2,1
1531440000.0,1538329020.0,0.0,Black,0.35,9.99,0,1,1,1
1512777600.0,1520423400.0,1.0,Brown Tabby,0.62,23.21,0,1,1,0
1508976000.0,1529770560.0,1.0,Black,0.55,15.44,13,9,2,0
1528675200.0,1537270860.0,0.0,Black Tabby,0.0,45.01,0,1,1,1
1505088000.0,1542892980.0,1.0,Brown,0.81,22.85,0,1,2,0
1462406400.0,1469807400.0,1.0,Blue Tabby,0.63,10.88,7,1,1,0
1545436800.0,1552752360.0,1.0,Brown Tabby,0.33,40.69,0,1,1,0
1499817600.0,1508438220.0,1.0,Black,0.44,15.79,7,1,1,0
1489104000.0,1504289880.0,0.0,Orange Tabby,0.77,43.27,16,9,1,1
1504051200.0,1513788420.0,1.0,Lynx Point,0.81,43.12,7,1,1,0
1486080000.0,1503738360.0,2.0,Black,0.86,17.76,13,9,1,0
1462579200.0,1507314120.0,0.0,Black,0.06,28.03,0,7,2,1
1458864000.0,1508423220.0,1.0,Tan,0.05,31.86,0,1,2,0
1333411200.0,1556816760.0,1.0,Black Brindle,0.74,48.14,0,7,2,0
1346716800.0,1505992620.0,0.0,Blue Merle,0.31,41.8,0,7,2,1
1414368000.0,1510995600.0,1.0,Blue Tabby,0.64,24.47,16,9,1,0
1492473600.0,1526688000.0,1.0,Tan,0.1,27.9,13,9,2,0
1473724800.0,1486831440.0,0.0,White,0.17,18.26,0,1,1,1
1479600000.0,1489482960.0,0.0,Brown Tabby,0.24,37.01,7,1,1,1
1479427200.0,1487705220.0,0.0,Brown Tabby,0.27,38.15,0,1,1,1
1511481600.0,1547474520.0,2.0,Black,0.4,20.06,13,9,2,1
1480896000.0,1549876920.0,1.0,Black,0.65,24.86,7,1,2,0
1482624000.0,1492800600.0,1.0,Black,0.42,27.15,16,9,1,0
