longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-119.58,36.83,13.0,7.926357,1.1149871,2473.0,3.1950905,5.4895,1.567
-118.06,34.12,34.0,5.1059027,0.96875,1660.0,2.8819444,4.5667,2.715
-122.41,40.58,35.0,5.5253334,1.0266666,1029.0,2.744,2.8512,0.756
-121.97,37.31,21.0,4.361349,1.2384219,3637.0,2.079474,3.6401,2.675
-121.41,38.58,18.0,3.9971263,1.0816092,2803.0,1.6109196,3.089,1.414
-118.13,33.85,36.0,4.654321,0.9654321,1049.0,2.5901234,3.55,2.128
-117.73,33.53,3.0,7.7997556,1.1233212,2129.0,2.5995116,7.8915,4.206
-121.98,38.36,30.0,4.0,1.0,103.0,2.942857,4.163,1.125
-117.09,32.77,31.0,5.6808906,1.1057514,1263.0,2.343228,3.0875,2.915
-119.72,36.73,9.0,4.514151,1.1580188,1116.0,2.6320755,1.4646,0.659
-121.26,36.32,30.0,3.65,1.025,164.0,4.1,2.3,2.063
-119.61,36.58,29.0,4.8413286,1.0332103,788.0,2.9077492,2.6974,0.73
-122.27,37.89,52.0,7.4366198,1.030986,973.0,2.740845,7.266,3.711
-121.22,38.58,25.0,4.746988,1.1325301,155.0,1.8674699,2.233,0.55
-120.6,35.11,17.0,4.98004,1.0459082,1292.0,2.5788424,2.2625,1.53
-118.31,33.78,30.0,5.5836387,1.0,2411.0,2.9438338,3.5804,3.838
-122.27,37.9,52.0,7.56,0.9927273,684.0,2.4872727,7.9556,3.744
-118.92,34.18,17.0,7.430341,1.0897833,1067.0,3.3034055,6.3522,2.593
-118.25,34.0,32.0,4.006579,1.125,1292.0,4.25,1.5781,1.029
-121.44,38.69,24.0,5.628829,1.0018018,1512.0,2.7243242,3.1942,0.949
-118.12,33.8,35.0,4.389952,1.0406698,774.0,1.8516747,2.7092,2.563
-119.84,37.48,17.0,6.1040187,1.3073286,1087.0,2.56974,2.5,1.042
-118.24,33.99,28.0,3.586207,1.0229886,498.0,5.724138,2.4107,0.964
-115.85,34.2,34.0,9.144208,2.9716313,890.0,2.104019,1.3571,0.41
-117.09,32.77,38.0,6.020408,1.090379,812.0,2.367347,3.125,2.165
-120.46,37.33,4.0,7.211009,1.0642202,368.0,3.3761468,6.3215,1.382
-118.32,34.17,47.0,5.3381443,0.9587629,1284.0,2.6474228,5.1008,2.471
-122.45,38.28,20.0,7.1869564,1.0934782,1374.0,2.9869566,5.7984,2.976
-120.59,38.53,15.0,5.917808,1.1917808,208.0,2.8493152,3.6125,1.0
-118.57,34.21,23.0,6.393464,1.0366013,2447.0,3.1986928,5.8798,2.705
-122.43,37.76,52.0,5.7438426,1.0689656,861.0,2.1206896,4.4318,4.375
-122.21,37.77,46.0,3.4858756,1.059322,1183.0,3.3418078,2.3309,0.987
-122.13,38.01,48.0,4.478903,1.0421941,859.0,1.8122363,1.8523,1.448
-118.34,33.9,37.0,4.59322,0.8898305,355.0,3.0084746,5.5133,2.273
-116.9,32.84,18.0,5.0659184,1.0336605,1864.0,2.6143057,2.7069,1.538
-118.13,33.86,45.0,5.15625,1.0,645.0,2.5195312,4.4,2.095
-122.04,36.97,40.0,5.848039,1.112745,570.0,2.7941177,4.4659,2.375
-115.49,32.87,19.0,5.1037736,0.9811321,457.0,4.311321,3.3583,1.028
-117.1,33.12,12.0,4.7810946,1.7014925,315.0,1.5671642,0.813,2.75
-118.06,33.99,45.0,5.884,1.02,670.0,2.68,4.5478,1.88
-118.39,33.96,45.0,5.174905,0.9581749,581.0,2.2091255,5.8143,3.407
-121.89,37.26,25.0,6.6115537,1.057769,1560.0,3.1075697,5.8479,2.633
-122.49,37.78,47.0,4.1847825,0.9984472,1505.0,2.3369565,3.0877,3.291
-117.56,33.88,40.0,4.6356587,1.1395348,1052.0,4.0775194,2.0682,1.13
-122.06,37.0,14.0,4.445402,1.0747126,4731.0,13.594828,2.4732,1.313
